first_name,last_name,date_of_birth,current_school,current_grade,default_discount_percentage
Olivia,Davis,2011-08-07,Truong THPT Quang Trung,Freshman,15.9
Minh,Lopez,2008-09-27,University of Chicago,,40.4
Grace,Jackson,,Truong THPT Nguyen Trai,,0.7
Oanh,Bui,2009-10-15,Truong THPT Le Quy Don,,5.8
Brian,Davis,2009-05-12,University of California,,40.5
David,Davis,,University of California,,49.5
Linh,Do,2010-08-11,Truong THPT Le Quy Don,Junior,40.4
Em,Do,,Truong THPT Nguyen Du,12,33.5
Liam,Dang,2011-10-09,MIT,Freshman,8.8
Phong,Moore,2009-11-03,,,33.2
Em,Truong,2010-11-20,University of Chicago,Junior,23.4
Jack,Pham,2011-09-09,Truong THPT Nguyen Du,Freshman,9.6
David,Pham,2008-06-06,Truong THPT Le Loi,,14.5
Catherine,Smith,2010-09-25,,9,13.7
Em,Hoang,2009-03-27,,,38.2
Hoa,Tran,,Truong THPT Ly Tu Trong,9,2.6
Ivy,Dang,,,,31.9
Nam,Dong,2010-03-05,University of California,Senior,11.1
Nam,Smith,2011-05-10,Harvard University,,16.1
Sam,Jackson,2008-12-16,Princeton University,,26.6
Quinn,Brown,2010-08-18,Stanford University,9,22.2
Grace,Davis,2009-05-29,Truong THPT Nguyen Trai,,3.0
Brian,Lopez,2008-04-01,,10,6.4
Brian,Smith,2009-10-06,Yale University,Sophomore,10.2
Jack,Davis,2010-12-13,,,39.4
Frank,Nguyen,2007-11-28,Truong THPT Nguyen Hue,10,6.7
Phong,Moore,,,,11.5
Chi,Wilson,2009-01-20,Harvard University,Sophomore,4.0
Frank,Miller,2008-04-29,Truong THPT Nguyen Hue,Sophomore,43.3
Chi,Gonzalez,2007-11-08,Truong THPT Nguyen Hue,12,16.5
Quang,Vo,2010-08-11,,,41.6
Giang,Vo,2011-07-10,University of Chicago,Senior,16.5
Em,Le,,,,27.2
Liam,Gonzalez,,Truong THPT Hai Ba Trung,,36.0
Alex,Johnson,2007-12-25,Truong THPT Vo Thi Sau,,2.0
Viet,Martinez,2009-01-30,Truong THPT Nguyen Trai,9,36.5
Rachel,Phan,2010-11-15,Truong THPT Le Loi,,31.0
Yen,Pham,2009-01-21,,Junior,48.8
David,Martinez,2010-02-24,Truong THPT Vo Thi Sau,Freshman,29.2
Quang,Moore,2009-10-01,,,35.2
Henry,Duong,2008-01-05,Columbia University,,10.2
Catherine,Lopez,2010-03-12,Truong THPT Ly Tu Trong,10,48.2
Rachel,Gonzalez,,MIT,,9.2
An,Ho,2008-03-30,Truong THPT Nguyen Trai,12,37.6
Jack,Ho,2011-01-18,,,17.8
Rachel,Vu,2010-11-23,Truong THPT Nguyen Hue,11,19.7
Jack,Brown,2011-03-24,University of California,,27.2
Liam,Jones,,,,26.5
Hoa,Davis,2009-08-15,Truong THPT Nguyen Du,Freshman,35.1
Giang,Johnson,2010-07-26,Truong THPT Ly Tu Trong,,50.0
Grace,Anderson,2010-06-05,Truong THPT Nguyen Hue,,40.2
David,Taylor,2008-06-29,Truong THPT Vo Thi Sau,9,27.0
Tina,Dong,2009-10-08,,,16.6
Jack,Le,,Truong THPT Ly Tu Trong,10,31.6
Quinn,Nguyen,2009-12-25,University of California,,21.4
Maya,Lopez,,Truong THPT Hai Ba Trung,,42.2
Catherine,Le,2009-07-16,,,19.9
Hoa,Vu,2009-05-23,Truong THPT Le Quy Don,11,5.3
Binh,Ho,2010-09-14,Northwestern University,11,24.9
Uyen,Smith,2011-09-24,Duke University,12,20.6
Henry,Brown,,,,25.8
Viet,Phung,2008-06-08,,11,33.0
Brian,Taylor,2008-10-02,Harvard University,Junior,19.4
Minh,Tran,2009-09-29,Truong THPT Vo Thi Sau,11,13.9
Em,Phan,2009-03-09,,,21.9
Olivia,Dang,2007-12-14,Yale University,Junior,25.6
Nam,Do,,Truong THPT Ly Tu Trong,11,25.5
Quinn,Jackson,2010-08-18,,,35.5
Em,Lopez,2009-06-24,,Sophomore,34.6
Liam,Miller,,Truong THPT Le Quy Don,9,21.6
Liam,Dang,2008-07-10,Truong THPT Hai Ba Trung,,35.5
Chi,Ngo,,University of Chicago,,16.8
Kelly,Anderson,2009-05-02,Truong THPT Hai Ba Trung,11,25.5
Quang,Anderson,2010-10-05,Northwestern University,9,33.5
Xuan,Phung,,,,13.6
Olivia,Lopez,2008-08-18,,Sophomore,9.4
Yen,Johnson,2007-11-03,Truong THPT Le Loi,,15.9
Kelly,Dinh,2010-12-08,Truong THPT Vo Thi Sau,Sophomore,15.8
Ivy,Bui,2009-11-20,Northwestern University,Sophomore,38.9
Brian,Gonzalez,,,,5.9
An,Nguyen,,Truong THPT Tran Phu,11,37.2
Yen,Bui,2010-01-20,Duke University,,41.0
Yen,Pham,2009-02-22,Northwestern University,,3.9
Kelly,Martin,2008-06-15,Truong THPT Nguyen Trai,Junior,42.6
An,Jones,,Duke University,Freshman,6.2
Tina,Duong,,MIT,Senior,4.5
Thu,Dang,2009-01-07,,Senior,38.5
Brian,Dang,2010-02-07,Truong THPT Nguyen Du,,48.5
Quinn,Dong,,,Junior,17.0
Uyen,Gonzalez,2010-09-29,,,18.3
Noah,Do,2008-08-09,Truong THPT Le Loi,,9.4
Grace,Taylor,2008-09-23,,,33.0
Em,Lopez,2008-12-09,University of Chicago,,10.4
Chi,Do,2008-11-04,Columbia University,,38.8
Binh,Anderson,2010-10-21,Northwestern University,,46.5
Rachel,Jackson,2010-08-27,Truong THPT Ly Tu Trong,,13.5
David,Dinh,2010-09-30,Truong THPT Nguyen Trai,,48.6
Henry,Hoang,2011-10-04,Columbia University,,20.5
An,Jackson,2010-01-17,,Senior,5.1
Brian,Hoang,2009-01-22,Truong THPT Le Loi,Freshman,44.3
Viet,Miller,2009-08-17,Truong THPT Le Quy Don,Sophomore,22.5
Em,Johnson,2010-10-01,University of Chicago,11,16.0
Quinn,Dang,2009-06-30,,,43.9
Chi,Gonzalez,2007-12-03,,11,3.8
Oanh,Williams,2008-06-27,Columbia University,,24.1
Yen,Duong,2011-08-12,Truong THPT Le Quy Don,12,21.7
Alex,Lopez,2008-12-08,Truong THPT Hai Ba Trung,,27.4
Henry,Wilson,2008-11-15,Truong THPT Hai Ba Trung,12,7.6
Oanh,Ly,2009-04-15,,,31.4
An,Do,2009-03-25,Duke University,10,18.2
Rachel,Jackson,2009-08-11,,Senior,38.5
Viet,Dinh,2009-08-05,Princeton University,Senior,35.1
Catherine,Moore,2010-10-27,,10,17.9
Alex,Jackson,2008-12-05,Stanford University,,44.6
Henry,Davis,2011-09-22,Duke University,,27.6
Frank,Truong,2009-10-19,Princeton University,,12.5
Henry,Bui,2010-12-04,Harvard University,Junior,14.2
Henry,Jones,,University of Chicago,10,0.8
Binh,Ly,2008-11-12,,,5.2
Grace,Dang,2008-08-15,Truong THPT Le Loi,9,24.1
Maya,Davis,2008-04-11,Truong THPT Nguyen Trai,,40.8
Alex,Garcia,2010-04-02,Truong THPT Hai Ba Trung,10,35.6
An,Nguyen,2011-08-27,Truong THPT Ly Tu Trong,Junior,38.2
Chi,Jones,,Truong THPT Tran Phu,11,36.0
Linh,Jones,2008-07-02,Truong THPT Nguyen Du,12,29.2
Sang,Martin,,,,39.7
Viet,Lopez,2009-07-18,Harvard University,10,21.0
Tina,Pham,2008-04-29,Duke University,,38.6
Khanh,Garcia,2010-05-08,Stanford University,,7.8
Frank,Bui,2010-08-02,Truong THPT Hai Ba Trung,,11.0
Ivy,Ho,2011-01-13,Truong THPT Tran Phu,,7.2
David,Tran,2010-06-26,,Junior,34.1
Brian,Duong,2007-11-30,University of Chicago,10,34.2
Hoa,Dang,2011-09-11,,Sophomore,38.1
Henry,Garcia,,,,2.4
Hoa,Phan,,Columbia University,9,38.9
Quinn,Thomas,2008-08-25,MIT,,30.1
Jack,Wilson,2011-06-29,Princeton University,12,29.1
Sam,Ngo,2010-01-23,,12,36.3
Quang,Ngo,,Truong THPT Nguyen Hue,12,2.9
Nam,Davis,2011-05-10,,Junior,20.4
Nam,Ly,,,9,38.3
Quang,Truong,2009-10-20,Truong THPT Le Quy Don,11,6.2
Em,Phung,2010-12-06,MIT,,38.7
Uyen,Gonzalez,2011-02-13,Truong THPT Le Loi,Senior,41.3
Sam,Dong,,University of Chicago,Senior,14.4
Paul,Duong,2009-02-17,University of Chicago,,21.6
An,Pham,2008-07-17,MIT,9,4.0
An,Phan,2011-03-16,Yale University,12,36.6
Minh,Jones,2008-08-09,Yale University,11,26.5
Tina,Dong,2010-01-30,Truong THPT Quang Trung,Senior,8.4
Sang,Anderson,2010-06-06,Truong THPT Le Loi,,44.4
Minh,Vu,2011-03-30,University of Chicago,10,44.2
Grace,Martinez,2009-02-17,Truong THPT Tran Phu,,38.5
Khanh,Bui,2009-01-25,,12,8.9
Frank,Hernandez,2008-02-19,,Junior,9.2
Xuan,Gonzalez,2010-03-15,Truong THPT Vo Thi Sau,,44.5
Quang,Moore,2011-08-30,Truong THPT Nguyen Du,Freshman,14.2
Catherine,Vu,2009-01-01,,10,44.8
Uyen,Brown,2008-09-25,MIT,,49.3
Quang,Thomas,,,,45.1
